id,name
7012,TAKU INOUE SELECTION!!!! feat.DJ KOO
8001,Kimi to Boku no Mirai
8002,Angel Dream
8003,Natsuiro
8004,Sayonara Bus
8005,LOVE & PEACH
8006,Tatta
8007,HOT LIMIT
8008,Ikuze! Kaitou Shoujo
8009,Tomodachi no Uta
8010,Niji
8011,Star Loveration
8012,Tsubasa
8013,LIFE
8014,Momoiro Kataomoi
8015,Hello Especially
8016,Zenryoku☆Summer!
8017,Amairo no Kami no Otome
8018,Kurenai
8019,Humming ga Kikoeru
8020,Hajimete no Chuu
8022,YELLOW YELLOW HAPPY
8023,HIGH PRESSURE
8024,Kimi no Seishun wa Kagayaite Iru ka
8025,RAGE OF DUST
8026,Kaze ni Naritai
8027,Ooki na Furudokei
8028,COLORS
8029,Mosaic Kakera
8030,O2
8031,Revive
8032,EZ DO DANCE
8033,WHITE BREATH
8034,Gakuen Tengoku
8035,STAR
8036,Butter-Fly
8037,brave heart
8038,I wish
8039,Hanareteitemo
8040,Miagete Goran Yoru no Hoshi o
8041,Lost Princess
8042,Connecting Happy!!
8043,OVER THE SKY
8044,Tori no Uta
8045,Alkatale
8046,Toki o Kizamu Uta
8047,My Soul Your Beats!
8048,Sky Clad no Kansokusha
8049,Hacking to the Gate
8050,survival dAnce ~no no cry more~
8051,CRAZY GONNA CRAZY
8052,Overnight Sensation ~Jidai wa Anata ni Yudaneteru
8053,TRF×CG -DJ KOO Mix-
9001,Todoke! Idol
9002,Snow Wings
9003,Tulip
9004,Hi-fi☆Days
9005,Seizon Honnou Valkyria
9006,Junjou Midnight Densetsu
9007,Love Destiny
9008,Samakani !!
9009,BEYOND THE STARLIGHT
9010,Inochi Moyashite Koiseyo Otome
9011,Sweet Witches' Night ~Rokuninme wa Daare~
9012,Sakura no Koro
9013,Nothing but You
9014,With Love
9015,Little Riddle
9016,Illusionista!
9017,Happy New Yeah!
9018,Girls in the Frontier
9019,Doremy Factory
9020,Starry-Go-Round
9021,Girls in the Frontier
9022,Mujuuryoku Shuttle
9023,comic cosmic
9024,TRUE COLORS
9025,Mirror Ball Love
9026,Inshou
9027,Unlock Starbeat
9028,Furachi na CANVAS
9029,Athanasia
9031,Joker
9032,Taiyou no E no Gubako
9033,Go Just Go!
9901,Yes! Party Time!!
9902,Yes! Party Time!!
9903,Vast world
9904,Stage Bye Stage
9906,Aozora Yell
9907,Honoo no Hana
9908,LOVE Has Come
9909,Oumuamua ni Kouun wo
