live_detail_id,live_id,sort,color,performers,special_keys,jp_name,name,difficulty,level,duration,Tap,Long,Flick,Slide
23,12,3004,1,Ogata Chieri,solo,風色メロディ,Kazeiro Melody,3,16,129.333333,248,30,5,0
24,12,3004,1,Ogata Chieri,solo,風色メロディ,Kazeiro Melody,4,23,129.333333,282,102,25,0
25,13,3005,2,Kanzaki Ranko,solo,華蕾夢ミル狂詩曲 ～魂ノ導～,Tsubomi Yumemiru Rapsodia ~Alma no Michibiki~,1,6,126.521739,80,8,0,0
26,13,3005,2,Kanzaki Ranko,solo,華蕾夢ミル狂詩曲 ～魂ノ導～,Tsubomi Yumemiru Rapsodia ~Alma no Michibiki~,2,13,126.521739,170,20,0,0
27,13,3005,2,Kanzaki Ranko,solo,華蕾夢ミル狂詩曲 ～魂ノ導～,Tsubomi Yumemiru Rapsodia ~Alma no Michibiki~,3,18,126.521739,344,61,18,0
28,13,3005,2,Kanzaki Ranko,solo,華蕾夢ミル狂詩曲 ～魂ノ導～,Tsubomi Yumemiru Rapsodia ~Alma no Michibiki~,4,27,126.521739,528,94,34,0
29,14,3006,3,Moroboshi Kirari,solo,ましゅまろ☆キッス,Marshmallow☆Kiss,1,8,125.16129,89,6,0,0
30,14,3006,3,Moroboshi Kirari,solo,ましゅまろ☆キッス,Marshmallow☆Kiss,2,13,125.16129,139,18,0,0
31,14,3006,3,Moroboshi Kirari,solo,ましゅまろ☆キッス,Marshmallow☆Kiss,3,18,125.16129,331,38,10,0
32,14,3006,3,Moroboshi Kirari,solo,ましゅまろ☆キッス,Marshmallow☆Kiss,4,24,125.16129,404,59,41,0
33,15,3007,1,Futaba Anzu,solo,あんずのうた,Anzu no Uta,1,9,126.7692308,148,4,0,0
34,15,3007,1,Futaba Anzu,solo,あんずのうた,Anzu no Uta,2,14,126.7692308,261,4,0,0
35,15,3007,1,Futaba Anzu,solo,あんずのうた,Anzu no Uta,3,19,126.7692308,311,38,115,0
36,15,3007,1,Futaba Anzu,solo,あんずのうた,Anzu no Uta,4,28,126.7692308,383,58,259,0
41,17,3009,3,Jougasaki Rika,solo,DOKIDOKIリズム,DOKIDOKI Rhythm,1,8,121.333333,79,22,0,0
42,17,3009,3,Jougasaki Rika,solo,DOKIDOKIリズム,DOKIDOKI Rhythm,2,13,121.333333,150,42,0,0
43,17,3009,3,Jougasaki Rika,solo,DOKIDOKIリズム,DOKIDOKI Rhythm,3,17,121.333333,302,54,24,0
44,17,3009,3,Jougasaki Rika,solo,DOKIDOKIリズム,DOKIDOKI Rhythm,4,24,121.333333,485,52,32,0
45,18,3010,1,Maekawa Miku,solo,おねだり Shall We ～?,Onedari Shall We~?,1,8,124.864865,98,8,0,0
46,18,3010,1,Maekawa Miku,solo,おねだり Shall We ～?,Onedari Shall We~?,2,13,124.864865,146,32,0,0
47,18,3010,1,Maekawa Miku,solo,おねだり Shall We ～?,Onedari Shall We~?,3,18,124.864865,252,76,24,0
48,18,3010,1,Maekawa Miku,solo,おねだり Shall We ～?,Onedari Shall We~?,4,25,124.864865,372,89,59,0
49,5,1005,1,"Shimamura Uzuki, Kohinata Miho, Maekawa Miku, Futaba Anzu, Abe Nana",,ススメ☆オトメ ～jewel parade～（CUTE VERSION）,Susume☆Otome ~jewel parade~ (CUTE VERSION),1,8,127.384615,95,14,0,0
50,5,1005,1,"Shimamura Uzuki, Kohinata Miho, Maekawa Miku, Futaba Anzu, Abe Nana",,ススメ☆オトメ ～jewel parade～（CUTE VERSION）,Susume☆Otome ~jewel parade~ (CUTE VERSION),2,13,127.384615,180,16,0,0
51,5,1005,1,"Shimamura Uzuki, Kohinata Miho, Maekawa Miku, Futaba Anzu, Abe Nana",,ススメ☆オトメ ～jewel parade～（CUTE VERSION）,Susume☆Otome ~jewel parade~ (CUTE VERSION),3,17,127.3846154,309,42,14,0
52,5,1005,1,"Shimamura Uzuki, Kohinata Miho, Maekawa Miku, Futaba Anzu, Abe Nana",,ススメ☆オトメ ～jewel parade～（CUTE VERSION）,Susume☆Otome ~jewel parade~ (CUTE VERSION),4,24,127.3846154,343,109,65,0
53,6,1006,2,"Shibuya Rin, Tada Riina, Nitta Minami, Takagaki Kaede, Kanzaki Ranko",,ススメ☆オトメ ～jewel parade～（COOL VERSION）,Susume☆Otome ~jewel parade~ (COOL VERSION),1,8,127.384615,24,64,0,0
54,6,1006,2,"Shibuya Rin, Tada Riina, Nitta Minami, Takagaki Kaede, Kanzaki Ranko",,ススメ☆オトメ ～jewel parade～（COOL VERSION）,Susume☆Otome ~jewel parade~ (COOL VERSION),2,13,127.384615,51,128,0,0
55,6,1006,2,"Shibuya Rin, Tada Riina, Nitta Minami, Takagaki Kaede, Kanzaki Ranko",,ススメ☆オトメ ～jewel parade～（COOL VERSION）,Susume☆Otome ~jewel parade~ (COOL VERSION),3,17,127.384615,61,186,45,0
56,6,1006,2,"Shibuya Rin, Tada Riina, Nitta Minami, Takagaki Kaede, Kanzaki Ranko",,ススメ☆オトメ ～jewel parade～（COOL VERSION）,Susume☆Otome ~jewel parade~ (COOL VERSION),4,24,127.384615,56,214,136,0
57,7,1007,3,"Honda Mio, Akagi Miria, Jougasaki Mika, Jougasaki Rika, Moroboshi Kirari",,ススメ☆オトメ ～jewel parade～（PASSION VERSION）,Susume☆Otome ~jewel parade~ (PASSION VERSION),1,8,127.384615,77,6,0,0
58,7,1007,3,"Honda Mio, Akagi Miria, Jougasaki Mika, Jougasaki Rika, Moroboshi Kirari",,ススメ☆オトメ ～jewel parade～（PASSION VERSION）,Susume☆Otome ~jewel parade~ (PASSION VERSION),2,13,127.384615,144,22,0,0
59,7,1007,3,"Honda Mio, Akagi Miria, Jougasaki Mika, Jougasaki Rika, Moroboshi Kirari",,ススメ☆オトメ ～jewel parade～（PASSION VERSION）,Susume☆Otome ~jewel parade~ (PASSION VERSION),3,17,127.384615,320,51,27,0
60,7,1007,3,"Honda Mio, Akagi Miria, Jougasaki Mika, Jougasaki Rika, Moroboshi Kirari",,ススメ☆オトメ ～jewel parade～（PASSION VERSION）,Susume☆Otome ~jewel parade~ (PASSION VERSION),4,24,127.384615,413,75,23,0
61,8,1008,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,ススメ☆オトメ ～jewel parade～,Susume☆Otome ~jewel parade~,1,8,127.384615,64,32,0,0
62,8,1008,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,ススメ☆オトメ ～jewel parade～,Susume☆Otome ~jewel parade~,2,13,127.384615,114,62,0,0
63,8,1008,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,ススメ☆オトメ ～jewel parade～,Susume☆Otome ~jewel parade~,3,18,127.384615,216,103,23,0
64,8,1008,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,ススメ☆オトメ ～jewel parade～,Susume☆Otome ~jewel parade~,4,25,127.384615,259,148,59,0
65,23,5005,1,"Mimura Kanako, Ogata Chieri, Futaba Anzu",,Happy×2 Days,Happy×2 Days,1,8,129.230769,105,4,0,0
66,23,5005,1,"Mimura Kanako, Ogata Chieri, Futaba Anzu",,Happy×2 Days,Happy×2 Days,2,13,129.230769,159,24,0,0
67,23,5005,1,"Mimura Kanako, Ogata Chieri, Futaba Anzu",,Happy×2 Days,Happy×2 Days,3,17,129.230769,215,101,9,0
68,23,5005,1,"Mimura Kanako, Ogata Chieri, Futaba Anzu",,Happy×2 Days,Happy×2 Days,4,23,129.230769,360,104,14,0
69,25,5007,2,"Nitta Minami, Anastasia",,Memories,Memories,1,6,121.846154,66,8,0,0
70,25,5007,2,"Nitta Minami, Anastasia",,Memories,Memories,2,11,121.846154,123,12,0,0
71,25,5007,2,"Nitta Minami, Anastasia",,Memories,Memories,3,16,121.846154,209,50,8,0
72,25,5007,2,"Nitta Minami, Anastasia",,Memories,Memories,4,22,121.846154,289,81,42,0
73,27,5009,3,"Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,LET'S GO HAPPY!!,LET'S GO HAPPY!!,1,7,130.0,112,14,0,0
74,27,5009,3,"Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,LET'S GO HAPPY!!,LET'S GO HAPPY!!,2,13,130.0,201,20,0,0
75,27,5009,3,"Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,LET'S GO HAPPY!!,LET'S GO HAPPY!!,3,18,130.0,344,64,42,0
76,27,5009,3,"Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,LET'S GO HAPPY!!,LET'S GO HAPPY!!,4,27,130.0,503,75,125,0
77,22,5004,4,"Shimamura Uzuki, Shibuya Rin, Honda Mio",,できたて Evo! Revo! Generation!,Dekitate Evo! Revo! Generation!,1,7,128.275862,74,30,0,0
78,22,5004,4,"Shimamura Uzuki, Shibuya Rin, Honda Mio",,できたて Evo! Revo! Generation!,Dekitate Evo! Revo! Generation!,2,11,128.275862,161,30,0,0
79,22,5004,4,"Shimamura Uzuki, Shibuya Rin, Honda Mio",,できたて Evo! Revo! Generation!,Dekitate Evo! Revo! Generation!,3,19,128.275862,364,69,15,0
80,22,5004,4,"Shimamura Uzuki, Shibuya Rin, Honda Mio",,できたて Evo! Revo! Generation!,Dekitate Evo! Revo! Generation!,4,26,128.275862,508,94,69,0
81,2,1002,4,"Koshimizu Sachiko, Shibuya Rin, Takagaki Kaede, Kanzaki Ranko, Anastasia",,輝く世界の魔法,Kagayaku Sekai no Mahou,1,7,125.581395,90,22,0,0
82,2,1002,4,"Koshimizu Sachiko, Shibuya Rin, Takagaki Kaede, Kanzaki Ranko, Anastasia",,輝く世界の魔法,Kagayaku Sekai no Mahou,2,13,125.581395,190,34,0,0
83,2,1002,4,"Koshimizu Sachiko, Shibuya Rin, Takagaki Kaede, Kanzaki Ranko, Anastasia",,輝く世界の魔法,Kagayaku Sekai no Mahou,3,18,125.581395,418,31,21,0
84,2,1002,4,"Koshimizu Sachiko, Shibuya Rin, Takagaki Kaede, Kanzaki Ranko, Anastasia",,輝く世界の魔法,Kagayaku Sekai no Mahou,4,25,125.581395,477,79,29,0
85,3,1003,4,"Shimamura Uzuki, Ogata Chieri, Abe Nana, Shibuya Rin, Sagisawa Fumika, Takagaki Kaede, Honda Mio, Takamori Aiko, Himekawa Yuki",,We're the friends!,We're the friends!,1,6,122.696629,67,6,0,0
86,3,1003,4,"Shimamura Uzuki, Ogata Chieri, Abe Nana, Shibuya Rin, Sagisawa Fumika, Takagaki Kaede, Honda Mio, Takamori Aiko, Himekawa Yuki",,We're the friends!,We're the friends!,2,12,122.696629,168,2,0,0
87,3,1003,4,"Shimamura Uzuki, Ogata Chieri, Abe Nana, Shibuya Rin, Sagisawa Fumika, Takagaki Kaede, Honda Mio, Takamori Aiko, Himekawa Yuki",,We're the friends!,We're the friends!,3,16,122.696629,348,18,17,0
88,3,1003,4,"Shimamura Uzuki, Ogata Chieri, Abe Nana, Shibuya Rin, Sagisawa Fumika, Takagaki Kaede, Honda Mio, Takamori Aiko, Himekawa Yuki",,We're the friends!,We're the friends!,4,22,122.696629,460,64,23,0
89,4,1004,4,"Shimamura Uzuki, Ogata Chieri, Abe Nana, Shibuya Rin, Honda Mio",,メッセージ,Message,1,7,120.5287059,81,24,0,0
90,4,1004,4,"Shimamura Uzuki, Ogata Chieri, Abe Nana, Shibuya Rin, Honda Mio",,メッセージ,Message,2,13,120.5287059,186,16,0,0
91,4,1004,4,"Shimamura Uzuki, Ogata Chieri, Abe Nana, Shibuya Rin, Honda Mio",,メッセージ,Message,3,16,120.5287059,297,48,2,0
92,4,1004,4,"Shimamura Uzuki, Ogata Chieri, Abe Nana, Shibuya Rin, Honda Mio",,メッセージ,Message,4,25,120.5287059,352,120,49,0
93,20,5002,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,夕映えプレゼント,Yuubae Present,1,8,123.4285714,87,16,0,0
94,20,5002,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,夕映えプレゼント,Yuubae Present,2,14,123.4285714,181,20,0,0
95,20,5002,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,夕映えプレゼント,Yuubae Present,3,18,123.4285714,309,99,17,0
96,20,5002,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,夕映えプレゼント,Yuubae Present,4,26,123.4285714,355,168,70,0
97,21,5003,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,GOIN'!!!,GOIN'!!!,1,9,125.4117865,115,10,0,0
98,21,5003,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,GOIN'!!!,GOIN'!!!,2,13,125.4117865,162,19,0,0
99,21,5003,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,GOIN'!!!,GOIN'!!!,3,17,125.4117865,257,104,22,0
100,21,5003,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,GOIN'!!!,GOIN'!!!,4,27,125.4117865,356,149,70,0
101,24,5006,2,Kanzaki Ranko,,-LEGNE- 仇なす剣 光の旋律,-ENGEL- Adanasu Tsurugi Hikari no Shirabe,1,9,125.915873,104,12,0,0
102,24,5006,2,Kanzaki Ranko,,-LEGNE- 仇なす剣 光の旋律,-ENGEL- Adanasu Tsurugi Hikari no Shirabe,2,14,125.915873,202,22,0,0
103,24,5006,2,Kanzaki Ranko,,-LEGNE- 仇なす剣 光の旋律,-ENGEL- Adanasu Tsurugi Hikari no Shirabe,3,19,125.915873,317,53,47,0
104,24,5006,2,Kanzaki Ranko,,-LEGNE- 仇なす剣 光の旋律,-ENGEL- Adanasu Tsurugi Hikari no Shirabe,4,28,125.915873,346,136,148,0
105,26,5008,1,"Maekawa Miku, Tada Riina",,ØωØver!!,Over!!,1,8,122.666667,106,4,0,0
106,26,5008,1,"Maekawa Miku, Tada Riina",,ØωØver!!,Over!!,2,12,122.666667,175,6,0,0
107,26,5008,1,"Maekawa Miku, Tada Riina",,ØωØver!!,Over!!,3,17,122.666667,360,12,2,0
108,26,5008,1,"Maekawa Miku, Tada Riina",,ØωØver!!,Over!!,4,26,122.666667,516,80,10,0
109,28,3014,2,Tada Riina,solo,Twilight Sky,Twilight Sky,1,7,122.727273,116,6,0,0
110,28,3014,2,Tada Riina,solo,Twilight Sky,Twilight Sky,2,13,122.727273,184,8,0,0
111,28,3014,2,Tada Riina,solo,Twilight Sky,Twilight Sky,3,18,122.727273,376,33,16,0
112,28,3014,2,Tada Riina,solo,Twilight Sky,Twilight Sky,4,24,122.727273,474,54,54,0
113,29,9001,4,"Shimamura Uzuki, Futaba Anzu, Shibuya Rin, Honda Mio, Moroboshi Kirari",,とどけ ! アイドル,Todoke! Idol,1,5,132.0,58,16,0,0
114,29,9001,4,"Shimamura Uzuki, Futaba Anzu, Shibuya Rin, Honda Mio, Moroboshi Kirari",,とどけ ! アイドル,Todoke! Idol,2,11,132.0,99,46,0,0
115,29,9001,4,"Shimamura Uzuki, Futaba Anzu, Shibuya Rin, Honda Mio, Moroboshi Kirari",,とどけ ! アイドル,Todoke! Idol,3,15,132.0,217,84,9,0
116,29,9001,4,"Shimamura Uzuki, Futaba Anzu, Shibuya Rin, Honda Mio, Moroboshi Kirari",,とどけ ! アイドル,Todoke! Idol,4,21,132.0,327,126,28,0
117,30,5010,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,Shine!!,Shine!!,1,8,124.8275862,91,36,0,0
118,30,5010,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,Shine!!,Shine!!,2,14,124.8275862,163,52,0,0
119,30,5010,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,Shine!!,Shine!!,3,18,124.8275862,331,37,8,0
120,30,5010,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,Shine!!,Shine!!,4,25,124.8275862,368,108,64,0
125,32,3011,2,Nitta Minami,solo,ヴィーナスシンドローム,Venus Syndrome,1,8,130.331126,93,14,0,0
126,32,3011,2,Nitta Minami,solo,ヴィーナスシンドローム,Venus Syndrome,2,14,130.331126,149,20,0,0
127,32,3011,2,Nitta Minami,solo,ヴィーナスシンドローム,Venus Syndrome,3,19,130.331126,305,51,23,0
128,32,3011,2,Nitta Minami,solo,ヴィーナスシンドローム,Venus Syndrome,4,26,130.331126,462,45,105,0
129,34,3013,1,Mimura Kanako,solo,ショコラ・ティアラ,Chocolat Tiara,1,6,126.315789,74,8,0,0
130,34,3013,1,Mimura Kanako,solo,ショコラ・ティアラ,Chocolat Tiara,2,13,126.315789,154,12,0,0
131,34,3013,1,Mimura Kanako,solo,ショコラ・ティアラ,Chocolat Tiara,3,18,126.315789,315,45,6,0
132,34,3013,1,Mimura Kanako,solo,ショコラ・ティアラ,Chocolat Tiara,4,26,126.315789,366,102,42,0
133,35,5021,2,"Shibuya Rin, Kamiya Nao, Hojo Karen",,Trancing Pulse,Trancing Pulse,1,9,119.813896,96,16,0,0
134,35,5021,2,"Shibuya Rin, Kamiya Nao, Hojo Karen",,Trancing Pulse,Trancing Pulse,2,14,119.813896,156,38,0,0
135,35,5021,2,"Shibuya Rin, Kamiya Nao, Hojo Karen",,Trancing Pulse,Trancing Pulse,3,19,119.813896,313,48,28,0
136,35,5021,2,"Shibuya Rin, Kamiya Nao, Hojo Karen",,Trancing Pulse,Trancing Pulse,4,28,119.813896,485,69,108,0
137,38,5011,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,夢色ハーモニー,Yumeiro Harmony,1,8,128.089888,115,12,0,0
138,38,5011,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,夢色ハーモニー,Yumeiro Harmony,2,14,128.089888,177,20,0,0
139,38,5011,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,夢色ハーモニー,Yumeiro Harmony,3,18,128.089888,361,26,3,0
140,38,5011,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,夢色ハーモニー,Yumeiro Harmony,4,26,128.089888,406,113,111,0
150,41,1009,1,"Shimamura Uzuki, Kohinata Miho, Maekawa Miku, Futaba Anzu, Abe Nana",,アタシポンコツアンドロイド,Atashi Ponkotsu Android,1,8,128.0,83,16,0,0
151,41,1009,1,"Shimamura Uzuki, Kohinata Miho, Maekawa Miku, Futaba Anzu, Abe Nana",,アタシポンコツアンドロイド,Atashi Ponkotsu Android,2,12,128.0,172,30,0,0
152,41,1009,1,"Shimamura Uzuki, Kohinata Miho, Maekawa Miku, Futaba Anzu, Abe Nana",,アタシポンコツアンドロイド,Atashi Ponkotsu Android,3,17,128.0,313,56,22,0
153,41,1009,1,"Shimamura Uzuki, Kohinata Miho, Maekawa Miku, Futaba Anzu, Abe Nana",,アタシポンコツアンドロイド,Atashi Ponkotsu Android,4,26,128.0,475,37,122,0
154,33,3012,3,Akagi Miria,solo,Romantic Now,Romantic Now,1,8,122.823529,82,44,0,0
155,33,3012,3,Akagi Miria,solo,Romantic Now,Romantic Now,2,14,122.823529,186,62,0,0
156,33,3012,3,Akagi Miria,solo,Romantic Now,Romantic Now,3,19,122.823529,270,68,123,0
157,33,3012,3,Akagi Miria,solo,Romantic Now,Romantic Now,4,27,122.823529,366,78,216,0
162,36,5025,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,M@GIC☆,MAGIC☆,1,8,122.6966292,74,34,0,0
163,36,5025,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,M@GIC☆,MAGIC☆,2,14,122.6966292,202,46,0,0
